                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 1.4775,                 1.3897,                 1.9422,                0.67428,                0.85799,                0.81732,                0.40928,                 1.3299,                 1.2806,                 1.7006,              0.0005249,              0.0005249,              0.0005249
                    151,                  1.443,                 1.4617,                 1.9223,                0.71439,                0.84024,                 0.8136,                0.43327,                 1.3051,                 1.2225,                 1.6958,               0.000515,               0.000515,               0.000515
                    152,                 1.5021,                 1.3646,                 1.9586,                0.79233,                0.89349,                0.89624,                0.51432,                 1.2326,                  1.108,                 1.6557,              0.0005051,              0.0005051,              0.0005051
                    153,                 1.4391,                 1.3768,                 1.8593,                0.82123,                0.89701,                0.91494,                0.53143,                 1.2581,                 1.0803,                 1.6714,              0.0004952,              0.0004952,              0.0004952
                    154,                 1.4649,                 1.3658,                 1.9392,                0.79389,                0.91166,                0.92927,                0.52476,                 1.2918,                 1.0866,                 1.6813,              0.0004853,              0.0004853,              0.0004853
                    155,                 1.4335,                 1.3313,                 1.9006,                0.77543,                0.91716,                0.91318,                0.49767,                 1.3243,                 1.1126,                 1.7025,              0.0004754,              0.0004754,              0.0004754
                    156,                 1.4446,                 1.3527,                 1.8958,                0.81971,                0.91472,                0.94415,                0.53227,                 1.2811,                 1.0699,                 1.6517,              0.0004655,              0.0004655,              0.0004655
                    157,                 1.4535,                 1.3962,                 1.8896,                0.87363,                0.92308,                 0.9637,                  0.549,                 1.2523,                 1.0485,                 1.6308,              0.0004556,              0.0004556,              0.0004556
                    158,                 1.4314,                 1.3611,                 1.8457,                0.85284,                0.88757,                0.95437,                0.53894,                 1.2594,                 1.0795,                 1.6491,              0.0004457,              0.0004457,              0.0004457
                    159,                 1.4303,                 1.3007,                 1.8624,                0.79761,                0.88616,                0.91102,                 0.4975,                 1.2497,                  1.162,                 1.6422,              0.0004358,              0.0004358,              0.0004358
                    160,                 1.4336,                  1.364,                 1.8872,                 0.7481,                0.86982,                0.88585,                0.49248,                 1.2751,                 1.1728,                 1.6578,              0.0004259,              0.0004259,              0.0004259
                    161,                 1.4908,                  1.386,                 1.9126,                0.87518,                0.91272,                0.94651,                0.52703,                 1.2797,                  1.084,                 1.6673,               0.000416,               0.000416,               0.000416
                    162,                 1.3736,                   1.26,                 1.8266,                0.86202,                0.89941,                0.94175,                0.53398,                  1.255,                 1.0611,                 1.6445,              0.0004061,              0.0004061,              0.0004061
                    163,                 1.4243,                 1.2996,                 1.8661,                0.81256,                0.92308,                0.93502,                 0.5554,                 1.2586,                 1.0447,                 1.6421,              0.0003962,              0.0003962,              0.0003962
                    164,                 1.4068,                 1.2937,                 1.9066,                  0.833,                0.92899,                0.93833,                 0.5566,                 1.2334,                 1.0469,                 1.6252,              0.0003863,              0.0003863,              0.0003863
                    165,                 1.4257,                 1.2519,                 1.8423,                0.81064,                0.91194,                0.93068,                0.55642,                 1.2356,                 1.0458,                 1.6209,              0.0003764,              0.0003764,              0.0003764
                    166,                 1.4089,                 1.2994,                 1.8742,                0.83612,                0.92308,                0.93027,                0.53941,                  1.263,                 1.0496,                 1.6334,              0.0003665,              0.0003665,              0.0003665
                    167,                 1.4624,                 1.3199,                 1.8407,                0.88455,                0.95858,                0.95751,                0.55286,                 1.2493,                 1.0445,                 1.6202,              0.0003566,              0.0003566,              0.0003566
                    168,                 1.4435,                 1.2752,                 1.8469,                0.89873,                0.94524,                0.96717,                0.57255,                 1.2226,                 1.0302,                 1.6112,              0.0003467,              0.0003467,              0.0003467
                    169,                 1.4187,                 1.3027,                 1.8925,                0.91981,                0.94083,                0.97317,                0.59255,                 1.2104,                 1.0112,                 1.6086,              0.0003368,              0.0003368,              0.0003368
                    170,                 1.3915,                 1.2925,                 1.8358,                0.92648,                0.91124,                0.96422,                0.58706,                  1.219,                 1.0114,                 1.6174,              0.0003269,              0.0003269,              0.0003269
                    171,                  1.445,                 1.2833,                 1.8089,                0.91786,                0.91124,                0.96776,                 0.5882,                 1.2259,                 1.0214,                 1.6204,               0.000317,               0.000317,               0.000317
                    172,                  1.394,                 1.2466,                 1.8443,                0.89795,                0.92308,                0.96163,                0.57478,                 1.2543,                 1.0281,                 1.6333,              0.0003071,              0.0003071,              0.0003071
                    173,                 1.4541,                 1.3151,                 1.8939,                0.91885,                0.91124,                0.96319,                0.57089,                  1.266,                 1.0063,                 1.6418,              0.0002972,              0.0002972,              0.0002972
                    174,                 1.4337,                 1.3034,                  1.899,                0.90726,                0.89349,                0.95811,                0.54767,                 1.2665,                 1.0113,                 1.6527,              0.0002873,              0.0002873,              0.0002873
                    175,                 1.4299,                 1.2813,                 1.8803,                0.94973,                 0.8943,                0.97022,                0.56134,                  1.237,                 1.0225,                 1.6406,              0.0002774,              0.0002774,              0.0002774
                    176,                 1.3567,                 1.2679,                 1.8213,                0.92841,                 0.9208,                0.96517,                 0.5878,                 1.1945,                 1.0164,                 1.6085,              0.0002675,              0.0002675,              0.0002675
                    177,                 1.4024,                 1.3394,                 1.8723,                0.90033,                0.90863,                0.96238,                0.58745,                 1.1978,                  1.027,                  1.603,              0.0002576,              0.0002576,              0.0002576
                    178,                 1.3532,                 1.2724,                 1.8352,                0.89887,                0.89941,                0.95836,                 0.5794,                  1.207,                 1.0296,                 1.6077,              0.0002477,              0.0002477,              0.0002477
                    179,                 1.4119,                 1.2712,                 1.8708,                0.91797,                0.91716,                0.96758,                0.58407,                 1.2166,                  1.019,                 1.6167,              0.0002378,              0.0002378,              0.0002378
                    180,                 1.4085,                 1.3002,                 1.8412,                0.90792,                0.93348,                0.95905,                0.58818,                 1.2166,                 1.0074,                 1.6136,              0.0002279,              0.0002279,              0.0002279
                    181,                 1.3953,                 1.2273,                  1.816,                0.93709,                0.92899,                0.95767,                0.58627,                 1.2151,                 1.0032,                 1.6098,               0.000218,               0.000218,               0.000218
                    182,                 1.3642,                  1.238,                 1.8194,                0.92814,                 0.9171,                0.96122,                0.56387,                 1.2463,                 1.0203,                 1.6308,              0.0002081,              0.0002081,              0.0002081
                    183,                 1.4339,                 1.3075,                 1.8548,                0.91763,                0.92282,                0.95906,                0.56029,                 1.2335,                 1.0138,                 1.6199,              0.0001982,              0.0001982,              0.0001982
                    184,                 1.3601,                 1.2566,                  1.823,                0.92382,                0.93285,                0.96602,                0.57561,                 1.2142,                0.99659,                 1.6032,              0.0001883,              0.0001883,              0.0001883
                    185,                 1.3985,                 1.2755,                 1.8133,                0.94493,                0.95266,                0.96863,                0.59112,                 1.1945,                0.98317,                 1.5888,              0.0001784,              0.0001784,              0.0001784
                    186,                 1.4178,                 1.3202,                 1.8743,                0.90581,                0.95266,                0.96929,                0.60094,                 1.1701,                0.98048,                 1.5741,              0.0001685,              0.0001685,              0.0001685
                    187,                  1.372,                 1.2356,                 1.8207,                0.92076,                0.94675,                0.96528,                0.60735,                 1.1524,                0.97646,                 1.5645,              0.0001586,              0.0001586,              0.0001586
                    188,                 1.4143,                 1.2317,                  1.776,                0.90717,                0.92899,                0.96406,                0.59893,                 1.1635,                0.98786,                 1.5669,              0.0001487,              0.0001487,              0.0001487
                    189,                 1.3399,                 1.2393,                  1.824,                0.90226,                0.92858,                0.96463,                0.59566,                 1.1915,                 1.0041,                 1.5836,              0.0001388,              0.0001388,              0.0001388
                    190,                 1.3286,                 1.2151,                 1.7286,                 0.9074,                0.92771,                0.95938,                0.56263,                 1.2119,                 1.0216,                 1.5981,              0.0001289,              0.0001289,              0.0001289
                    191,                 1.2525,                 1.1799,                 1.6919,                0.86436,                0.92899,                0.94018,                0.52948,                 1.2857,                  1.067,                 1.6466,               0.000119,               0.000119,               0.000119
                    192,                 1.3211,                 1.1833,                  1.741,                0.86254,                0.92899,                 0.9334,                0.48412,                 1.3681,                 1.1004,                 1.7062,              0.0001091,              0.0001091,              0.0001091
                    193,                 1.3319,                 1.1015,                 1.7135,                0.88773,                0.93577,                0.94453,                0.50205,                 1.3442,                 1.0793,                 1.6935,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                 1.3072,                 1.1067,                 1.7311,                0.89635,                0.95266,                0.96043,                0.55018,                 1.2571,                 1.0152,                 1.6342,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                 1.2638,                 1.0665,                 1.7144,                0.88576,                0.96344,                0.95758,                0.58027,                 1.1974,                0.95782,                 1.5916,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                 1.2248,                 1.0209,                 1.6586,                0.89768,                0.95858,                0.95352,                0.59507,                 1.1715,                0.94433,                 1.5778,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                 1.2425,                   1.03,                 1.6826,                0.89816,                 0.9645,                0.95644,                 0.5985,                 1.1662,                0.93892,                 1.5781,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                 1.2527,                 1.0422,                 1.7223,                0.89915,                0.94675,                0.95292,                0.59991,                  1.154,                0.93823,                 1.5722,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                 1.2502,                 1.0304,                 1.6657,                0.89486,                0.95266,                0.95671,                0.59579,                 1.1505,                0.93604,                 1.5703,               3.98e-05,               3.98e-05,               3.98e-05
