                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.1889,                 2.0564,                 2.5462,                0.37898,                0.45562,                0.33032,                0.10364,                  1.957,                 3.6506,                 2.4511,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.2009,                 2.1125,                 2.5356,                 0.3306,                 0.4142,                0.28396,                0.10847,                 1.7632,                 3.4058,                 2.2925,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.0833,                 2.0075,                 2.5237,                0.23046,                0.78698,                0.32544,                0.12019,                 1.8164,                 2.7281,                 2.3498,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.0961,                  1.994,                 2.5577,                 0.2604,                0.78751,                0.35314,                 0.1319,                 1.8941,                 2.4919,                 2.4333,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.1039,                 1.9909,                 2.5927,                0.28429,                0.76331,                0.36597,                0.14342,                 1.9102,                 2.2344,                 2.4123,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.0783,                 1.8821,                 2.5244,                0.29783,                0.34911,                 0.2929,                0.09911,                 2.0551,                 2.9581,                 2.6145,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.0445,                 1.9896,                 2.3978,                 0.3217,                0.73373,                0.39008,                0.15531,                 1.8135,                 2.7803,                 2.2436,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.0777,                 1.9809,                 2.5372,                0.56069,                0.73373,                 0.6492,                0.27205,                 1.8221,                  2.057,                 2.2375,              0.0016139,              0.0016139,              0.0016139
                     41,                  1.984,                 1.9065,                 2.4606,                0.33965,                0.74556,                0.48516,                0.18338,                 1.8432,                 2.0589,                 2.1892,               0.001604,               0.001604,               0.001604
                     42,                 2.0505,                 1.9695,                 2.4626,                0.19322,                0.44379,                0.26284,                0.08984,                  1.936,                  4.272,                 2.4265,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.0884,                 1.9746,                 2.5394,                0.24079,                 0.6568,                0.29549,                 0.1236,                 1.9328,                  3.462,                 2.2951,              0.0015842,              0.0015842,              0.0015842
                     44,                  2.004,                 1.9082,                 2.4547,                0.21243,                0.55621,                 0.2196,                0.07615,                 2.0862,                 2.5985,                 2.4104,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.9418,                 1.8531,                 2.4353,                0.26281,                0.71006,                 0.3484,                0.15643,                 1.8715,                  3.123,                 2.2877,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.9733,                 1.9277,                 2.4461,                0.20686,                 0.6213,                0.32097,                0.12052,                 1.7686,                 2.9506,                 2.2914,              0.0015545,              0.0015545,              0.0015545
                     47,                 2.0438,                 1.8766,                 2.4223,                0.26425,                0.67456,                0.33913,                0.15231,                  1.754,                 2.4906,                 2.2062,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.8423,                 1.7707,                 2.2829,                0.26156,                0.61538,                0.28787,                0.10877,                  1.924,                 2.8957,                 2.4671,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.9322,                 1.8058,                 2.4215,                0.30472,                0.69243,                0.38283,                0.17327,                 1.6007,                 2.0209,                 2.1269,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.9019,                 1.8127,                 2.3515,                0.33771,                0.74556,                0.37114,                0.14198,                 1.6684,                 2.0887,                  2.149,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.9301,                 1.8903,                 2.3024,                0.39101,                 0.6568,                0.41256,                0.16541,                 1.8337,                 2.0018,                 2.2146,               0.001505,               0.001505,               0.001505
                     52,                 1.9071,                 1.8219,                 2.3374,                0.43353,                0.76331,                 0.5721,                0.24175,                 1.6327,                 1.9141,                 2.0623,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.8009,                 1.7429,                  2.236,                0.50115,                 0.8284,                0.64243,                0.27248,                  1.582,                 1.8367,                 2.0092,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.8133,                 1.7321,                 2.2035,                0.60393,                0.69822,                0.71366,                0.32717,                 1.5633,                  1.719,                 1.9954,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.8117,                 1.7283,                 2.2561,                0.62226,                0.65089,                0.67848,                0.28951,                 1.6321,                 1.7669,                 2.0687,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.8717,                 1.7245,                  2.253,                0.56039,                0.69231,                 0.6644,                 0.2659,                 1.7084,                 1.9393,                 2.1067,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.9036,                 1.7067,                 2.2807,                0.66809,                0.63314,                0.74806,                0.33576,                 1.6601,                 1.6075,                 2.0264,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.8535,                 1.7568,                 2.2256,                0.67475,                0.66288,                0.74726,                0.35493,                 1.6182,                 1.5906,                 2.0304,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.7332,                 1.6895,                 2.2222,                0.59361,                0.71006,                0.61304,                0.26316,                 1.7014,                 1.6107,                 2.0858,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.8934,                 1.7993,                 2.3638,                 0.5723,                0.68884,                0.61165,                0.25292,                 1.7199,                 1.6585,                 2.0918,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.8355,                 1.7564,                 2.3106,                0.57396,                 0.6568,                0.63646,                  0.282,                 1.6448,                 1.6263,                 2.0383,               0.001406,               0.001406,               0.001406
                     62,                 1.8323,                  1.731,                 2.1914,                0.71188,                0.57988,                0.72188,                0.33011,                 1.6457,                 1.5405,                 2.0624,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.9138,                 1.8656,                 2.3533,                0.63727,                0.72189,                 0.7691,                0.35776,                  1.735,                 1.5242,                 2.1407,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.8115,                 1.6831,                 2.2338,                0.79591,                0.66864,                0.77798,                0.36037,                 1.6618,                 1.4619,                 2.0937,              0.0013763,              0.0013763,              0.0013763
                     65,                  1.772,                 1.6416,                  2.198,                0.75972,                0.69231,                0.75231,                0.34027,                 1.4358,                 1.5899,                 1.9044,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.7343,                 1.6609,                 2.2051,                0.72776,                0.75148,                 0.7764,                0.35241,                  1.523,                  1.446,                 1.9621,              0.0013565,              0.0013565,              0.0013565
                     67,                  1.803,                 1.6618,                 2.2305,                0.74854,                0.79265,                0.75757,                0.34629,                 1.5483,                 1.4324,                 1.9864,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.8104,                 1.6828,                 2.1749,                0.78626,                 0.7574,                0.82417,                0.38008,                 1.5754,                  1.392,                 1.9735,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.819,                 1.6423,                  2.227,                0.67728,                0.76923,                0.73857,                 0.3125,                 1.4903,                 1.6197,                 1.8985,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.7043,                 1.6513,                 2.1631,                0.53573,                0.76923,                0.57221,                0.25703,                 1.4943,                 1.6556,                 1.9016,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.7448,                 1.7064,                  2.238,                0.56544,                0.78107,                0.69711,                0.29023,                 1.5573,                 1.6143,                 1.9497,               0.001307,               0.001307,               0.001307
                     72,                 1.7207,                 1.6234,                  2.202,                0.59744,                0.80792,                0.67438,                0.31561,                  1.421,                 1.6822,                 1.8429,              0.0012971,              0.0012971,              0.0012971
                     73,                  1.772,                 1.6571,                 2.2557,                0.57398,                 0.7733,                0.66225,                0.31332,                 1.4511,                 1.6784,                 1.8516,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.7729,                 1.5981,                 2.2045,                0.58366,                0.84024,                0.63353,                0.27872,                 1.5211,                 1.5642,                 1.9094,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.7527,                 1.5986,                 2.1291,                0.52364,                0.88166,                0.62499,                0.25565,                 1.5312,                 1.5999,                 1.9536,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.7415,                 1.5648,                 2.1759,                0.65785,                 0.7574,                0.78955,                0.35455,                 1.3963,                 1.4478,                 1.8508,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.6614,                 1.5991,                 2.1264,                0.73415,                0.71006,                0.75994,                0.35213,                 1.4509,                 1.4924,                 1.8503,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.6997,                 1.6544,                  2.205,                0.77116,                0.81657,                0.85918,                0.42734,                 1.4127,                 1.4971,                 1.8063,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.6481,                 1.6141,                 2.1331,                0.66317,                0.86391,                0.82952,                0.38063,                   1.52,                 1.6202,                  1.884,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.7237,                 1.5496,                 2.1528,                0.75004,                0.78107,                0.85189,                0.40343,                 1.4395,                 1.6076,                  1.845,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.6696,                 1.5403,                 2.1347,                0.76363,                 0.8284,                0.83941,                0.38253,                 1.5957,                 1.4279,                 1.9308,               0.001208,               0.001208,               0.001208
                     82,                 1.7473,                 1.6189,                 2.1697,                 0.7333,                0.85799,                 0.8322,                 0.4026,                 1.4347,                 1.4238,                 1.8664,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.6803,                 1.6178,                 2.1753,                0.61806,                0.90533,                0.69614,                0.32977,                 1.4661,                  1.541,                 1.8633,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.6783,                 1.5816,                 2.1034,                0.57533,                0.88181,                 0.6977,                0.32934,                 1.5134,                 1.5684,                 1.8899,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.6723,                  1.617,                 2.1367,                0.71717,                0.81022,                0.85079,                0.41847,                 1.4405,                 1.3734,                 1.9133,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.6855,                 1.5691,                 2.1374,                0.77741,                0.80473,                0.88173,                0.39841,                 1.5093,                 1.2847,                 1.9352,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.7716,                 1.6276,                 2.2386,                0.71185,                0.84024,                0.80919,                0.38414,                 1.3808,                 1.3576,                 1.8669,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.6209,                 1.5721,                 2.0775,                0.51584,                0.72502,                0.62632,                0.28787,                 1.5098,                   1.77,                 1.9669,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.6011,                 1.5812,                 2.1227,                0.64739,                0.87574,                0.75961,                0.38106,                 1.4258,                  1.497,                 1.8419,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.6779,                 1.5928,                  2.181,                 0.7748,                0.73964,                0.76905,                0.35407,                 1.4409,                 1.4165,                 1.8551,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.6551,                  1.572,                 2.0909,                0.68363,                0.78107,                 0.8119,                0.41705,                 1.4164,                 1.4019,                 1.8564,               0.001109,               0.001109,               0.001109
                     92,                 1.6581,                  1.541,                 2.0651,                0.57665,                 0.7574,                0.66166,                0.30584,                 1.4722,                 1.6453,                 1.8745,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.7189,                 1.6519,                 2.1481,                0.72541,                0.80473,                0.81922,                0.41797,                 1.3487,                 1.4245,                 1.7576,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.6046,                 1.5897,                 2.1075,                0.78757,                0.76923,                0.86192,                0.44962,                 1.3347,                 1.3541,                 1.7402,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.5627,                 1.5178,                 2.0029,                  0.641,                0.61538,                0.69679,                0.26937,                 1.7264,                 1.6859,                 2.1335,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.6472,                 1.6082,                 2.0821,                0.30637,                0.36686,                0.22964,                0.07667,                 2.3537,                 3.0188,                 3.0613,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.5451,                 1.4872,                   1.95,                0.31017,                0.31361,                0.22016,                0.07618,                 2.2817,                 3.0607,                 3.0235,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.6276,                 1.5422,                 2.0264,                0.68252,                0.78107,                0.70751,                0.33834,                 1.5878,                 1.4773,                 1.9956,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.6218,                 1.4976,                 2.0324,                0.77947,                0.77383,                0.84524,                0.41251,                  1.465,                 1.3074,                 1.8533,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.6489,                 1.5615,                 2.0584,                0.80367,                0.80473,                0.86531,                0.42396,                 1.3618,                 1.4271,                 1.7707,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.6104,                 1.5061,                 2.0698,                0.73127,                0.86982,                0.85402,                0.43783,                 1.3191,                 1.5079,                 1.7237,                0.00101,                0.00101,                0.00101
                    102,                 1.5825,                 1.5299,                 1.9979,                  0.785,                0.86417,                0.88057,                0.44533,                  1.347,                 1.4097,                  1.751,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.5819,                 1.5436,                 2.0379,                0.80069,                0.86982,                0.87843,                0.45467,                 1.3735,                 1.2917,                 1.8002,              0.0009902,              0.0009902,              0.0009902
                    104,                  1.592,                 1.5821,                 2.0802,                0.76577,                0.79316,                0.88589,                0.46696,                 1.3511,                  1.257,                 1.7639,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.6093,                 1.5161,                 2.0577,                0.83538,                0.73964,                0.89172,                0.45509,                 1.3936,                 1.2481,                 1.7947,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.6212,                 1.5264,                 2.0593,                0.76171,                0.71878,                0.86226,                 0.4712,                 1.3504,                 1.2604,                 1.7665,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.6086,                 1.5485,                 1.9977,                0.71833,                0.79978,                0.85207,                0.45747,                 1.4109,                 1.3159,                 1.8193,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.5777,                 1.4923,                 2.0007,                0.69542,                0.84024,                0.85285,                0.45682,                 1.3923,                 1.2601,                 1.8121,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.5843,                 1.5138,                 2.0077,                0.73676,                0.78698,                0.86228,                0.46635,                 1.3569,                 1.2294,                  1.781,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.5868,                  1.508,                  2.038,                0.78298,                0.76923,                0.85661,                0.43542,                 1.3967,                 1.2466,                 1.7954,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.4878,                 1.4744,                 1.9893,                0.63422,                0.85207,                0.83786,                0.44988,                 1.3914,                 1.3044,                 1.8422,               0.000911,               0.000911,               0.000911
                    112,                 1.5581,                 1.5446,                 2.0293,                0.64512,                0.87129,                0.79054,                0.41102,                 1.3784,                 1.4111,                 1.7516,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.5865,                 1.5954,                  2.024,                0.60936,                0.86391,                0.78654,                 0.3981,                 1.3849,                 1.4367,                 1.7498,              0.0008912,              0.0008912,              0.0008912
                    114,                  1.507,                 1.4882,                 2.0193,                0.58779,                0.88166,                0.80426,                0.41433,                 1.3869,                 1.4526,                 1.7873,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.5231,                   1.43,                 1.9662,                0.63979,                0.90533,                0.80568,                0.41024,                  1.373,                 1.3738,                  1.776,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.5751,                 1.5426,                 2.0687,                 0.7591,                0.89349,                 0.8978,                0.48692,                 1.4392,                 1.2434,                 1.8832,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.5164,                 1.4472,                 1.9559,                0.80088,                 0.8284,                0.90253,                0.49835,                 1.3082,                 1.2018,                 1.7571,              0.0008516,              0.0008516,              0.0008516
                    118,                  1.577,                  1.433,                 2.0101,                0.77249,                0.86391,                0.90288,                0.52201,                 1.2957,                 1.1918,                  1.758,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.5458,                 1.4276,                 2.0054,                0.78027,                0.90533,                0.87209,                0.45007,                 1.3321,                 1.2616,                 1.8158,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.4893,                 1.4145,                 1.9548,                 0.7638,                0.94083,                  0.878,                0.45631,                 1.3063,                  1.236,                 1.7302,              0.0008219,              0.0008219,              0.0008219
                    121,                  1.569,                  1.487,                  2.024,                0.81078,                0.92308,                 0.9173,                 0.5319,                 1.2896,                  1.188,                 1.7074,               0.000812,               0.000812,               0.000812
                    122,                 1.5732,                 1.4779,                 1.9986,                0.84383,                0.89523,                0.94967,                0.52219,                 1.3336,                 1.2151,                 1.7263,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.5299,                 1.4491,                 1.9991,                0.83633,                0.86391,                0.92689,                0.47051,                 1.4054,                 1.2543,                 1.7594,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.5296,                 1.4576,                 1.9917,                0.86467,                0.82249,                 0.9206,                0.49012,                 1.3443,                  1.232,                 1.7376,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.4916,                 1.4277,                 1.9763,                0.79052,                0.79882,                0.89335,                0.46333,                 1.3496,                  1.229,                 1.7638,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.4463,                 1.4769,                 1.9473,                0.73161,                0.85799,                0.83342,                0.38671,                 1.4969,                 1.3158,                   1.92,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.5259,                  1.492,                 1.9865,                0.75621,                0.89349,                0.86536,                0.40673,                  1.508,                 1.2816,                 1.9165,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.5073,                 1.4245,                 1.9723,                 0.7865,                0.89349,                0.86023,                0.38346,                 1.5978,                 1.2804,                 1.9673,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.5468,                 1.4394,                 2.0422,                0.80958,                0.89349,                0.89581,                0.42575,                 1.5058,                 1.2591,                 1.9019,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.5229,                 1.4144,                  1.966,                0.87596,                0.91933,                0.94068,                0.50932,                 1.3975,                 1.1496,                 1.7771,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.5569,                 1.4222,                 1.9848,                0.85001,                0.93892,                0.93194,                0.52868,                 1.3293,                 1.1337,                 1.7258,               0.000713,               0.000713,               0.000713
                    132,                 1.4833,                 1.4074,                 1.9185,                0.80603,                0.90533,                0.91051,                0.51264,                 1.3024,                 1.1556,                 1.6927,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.5045,                  1.454,                 1.9774,                0.82502,                 0.7929,                 0.8903,                0.50706,                  1.312,                 1.1603,                 1.7016,              0.0006932,              0.0006932,              0.0006932
